GalaxyID,class
100008,sphere
100078,sphere
100090,sphere
100122,elliptical
100123,sphere
100128,sphere
100134,irregular
100150,elliptical
100157,sphere
100187,sphere
100259,sphere
100263,elliptical
100288,elliptical
100295,elliptical
100367,elliptical
100380,espiral
100383,sphere
100402,elliptical
100428,sphere
100434,sphere
100458,elliptical
100506,elliptical
100513,irregular
100520,elliptical
100541,elliptical
100561,irregular
100571,sphere
100672,sphere
100673,espiral
100727,sphere
100744,sphere
100765,espiral
100774,elliptical
100801,espiral
100813,espiral
100821,espiral
100852,sphere
100859,espiral
100861,sphere
100867,sphere
100887,elliptical
100894,sphere
100951,espiral
101007,espiral
101074,espiral
101133,irregular
101140,espiral
101151,sphere
101164,elliptical
101244,irregular
101246,sphere
101247,sphere
101251,sphere
101275,espiral
101283,sphere
101290,elliptical
101291,elliptical
101296,sphere
101298,espiral
101307,espiral
101315,espiral
101325,sphere
101358,sphere
101371,sphere
101375,elliptical
101427,sphere
101469,elliptical
101493,elliptical
101501,irregular
101502,sphere
101518,sphere
101548,sphere
101549,elliptical
101564,espiral
101572,elliptical
101589,elliptical
101591,sphere
101597,elliptical
101627,sphere
101651,elliptical
101654,elliptical
101660,elliptical
101666,irregular
101685,elliptical
101701,elliptical
101754,sphere
101756,espiral
101762,elliptical
101774,espiral
101787,espiral
101788,elliptical
101798,elliptical
101804,espiral
101807,elliptical
101816,elliptical
101854,sphere
101858,elliptical
101941,elliptical
101943,sphere
101971,sphere
101980,irregular
101991,espiral
102000,sphere
102015,elliptical
102040,espiral
102046,elliptical
102047,sphere
102115,elliptical
102159,elliptical
102174,elliptical
102176,espiral
102182,sphere
102243,espiral
102260,sphere
102271,sphere
102295,sphere
102347,sphere
102371,sphere
102391,espiral
102402,espiral
102406,elliptical
102407,espiral
102422,espiral
102433,espiral
102471,sphere
102474,espiral
102481,sphere
102513,sphere
102556,sphere
102595,sphere
102642,sphere
102699,irregular
102701,elliptical
102731,sphere
102735,espiral
102742,sphere
102743,sphere
102765,espiral
102770,sphere
102799,sphere
102804,sphere
102808,sphere
102812,elliptical
102822,sphere
102834,sphere
102839,elliptical
102843,sphere
102874,elliptical
102919,elliptical
102928,sphere
102933,elliptical
102964,elliptical
102974,elliptical
102977,sphere
102990,espiral
102998,elliptical
103019,espiral
103037,espiral
103072,elliptical
103075,espiral
103191,sphere
103224,sphere
103233,elliptical
103260,sphere
103318,elliptical
103354,sphere
103356,espiral
103373,elliptical
103444,elliptical
103445,elliptical
103491,elliptical
103500,sphere
103503,elliptical
103520,sphere
103523,sphere
103533,espiral
103547,espiral
103561,espiral
103577,sphere
103610,sphere
103645,sphere
103646,sphere
103707,sphere
103750,elliptical
103754,irregular
103769,elliptical
103818,espiral
103819,sphere
103824,elliptical
103882,sphere
103900,sphere
103902,sphere
103904,sphere
103907,elliptical
103950,espiral
103955,elliptical
103974,elliptical
103999,elliptical
104001,espiral
104020,espiral
104040,espiral
104143,elliptical
104159,elliptical
104173,elliptical
104196,elliptical
104212,elliptical
104222,elliptical
104234,espiral
104253,sphere
104279,sphere
104281,sphere
104314,elliptical
104317,elliptical
104354,elliptical
104365,elliptical
104389,espiral
104414,sphere
104420,espiral
104422,sphere
104440,elliptical
104478,espiral
104516,elliptical
104536,espiral
104602,elliptical
104608,elliptical
104610,elliptical
104611,elliptical
104703,sphere
104709,sphere
104769,elliptical
104784,espiral
104830,elliptical
104920,elliptical
104929,sphere
104934,espiral
104977,sphere
104991,sphere
105009,espiral
105014,irregular
105020,sphere
105028,elliptical
105056,elliptical
105069,espiral
105092,sphere
105201,elliptical
105216,sphere
105218,espiral
105221,elliptical
105257,sphere
105279,sphere
105314,espiral
105364,elliptical
105417,elliptical
105447,sphere
105497,espiral
105507,sphere
105529,elliptical
105539,espiral
105541,sphere
105572,espiral
105581,elliptical
105631,espiral
105653,sphere
105700,espiral
105755,sphere
105757,sphere
105764,elliptical
105772,sphere
105774,espiral
105787,elliptical
105846,sphere
105868,sphere
105870,elliptical
105879,sphere
105900,elliptical
105902,elliptical
105925,espiral
105973,sphere
105983,sphere
105984,sphere
105986,elliptical
106000,sphere
106018,elliptical
106039,sphere
106040,sphere
106044,sphere
106049,irregular
106059,elliptical
106079,sphere
106105,elliptical
106147,sphere
106165,elliptical
106206,sphere
106230,elliptical
106263,irregular
106275,elliptical
106355,espiral
106357,irregular
106388,elliptical
106390,espiral
106463,sphere
106471,irregular
106499,elliptical
106514,elliptical
106544,sphere
106612,sphere
106621,espiral
106646,elliptical
106664,espiral
106689,elliptical
106694,elliptical
106705,elliptical
106725,elliptical
106739,elliptical
106749,sphere
106773,sphere
106777,espiral
106781,sphere
106784,espiral
106800,sphere
106803,sphere
106812,sphere
106819,elliptical
106829,sphere
106841,elliptical
106885,elliptical
106896,elliptical
106923,elliptical
106931,sphere
106973,elliptical
107012,espiral
